Site,Time ,Method,Treatment,Replicate,Area,Species,Trophic group,attack_number,attack_hour,attack_total_time,inspecting_number,inspecting_hour,inspecting_total_time
North Palfrey ,1,Dome,Fish,1,Lizard Island,Lutjanus russellii,Piscivore,0,0,0,1,0.580439199,0.23
North Palfrey ,1,Dome,Fish,1,Lizard Island,Carcharhinus melanopterus,Piscivore,35,20.31537196,3.49,3,1.741317597,0.11
North Palfrey ,1,Dome,Fish,1,Lizard Island,Plectropomus leopardus,Piscivore,0,0,0,1,0.580439199,0.23
North Palfrey ,1,Dome,Fish,1,Lizard Island,Plectropomus leopardus,Piscivore,0,0,0,1,0.580439199,0.1
North Palfrey ,1,Dome,Fish,1,Lizard Island,Plectropomus leopardus,Piscivore,0,0,0,1,0.580439199,0.2
North Palfrey ,1,Dome,Fish,2,Lizard Island,Cephalopholis cyanostigma,Piscivore,0,0,0,1,0.655379574,0.27
North Palfrey ,1,Dome,Fish,2,Lizard Island,Carcharhinus melanopterus,Piscivore,1,0.655379574,0.07,0,0,0
North Palfrey ,1,Dome,Fish,3,Lizard Island,Siganus doliatus,Herbivore,0,0,0,1,0.605754669,0.2
North Palfrey ,1,Dome,Fish,3,Lizard Island,Siganus doliatus,Herbivore,0,0,0,1,0.605754669,0.2
North Palfrey ,1,Dome,Fish,3,Lizard Island,Pomacanthus sexstriatus,Invertivore,0,0,0,1,0.605754669,0.2
North Palfrey ,1,Dome,Fish,3,Lizard Island,Epinephelus maculatus,Piscivore,0,0,0,1,0.605754669,0.18
North Palfrey ,1,Dome,Fish,3,Lizard Island,Plectropomus leopardus,Piscivore,1,0.605754669,0.02,0,0,0
North Palfrey ,1,Dome,Fish,3,Lizard Island,Carcharhinus melanopterus,Piscivore,0,0,0,1,0.605754669,0.07
North Palfrey ,1,Dome,Fish,3,Lizard Island,Carcharhinus melanopterus,Piscivore,1,0.605754669,0.5,0,0,0
North Palfrey ,1,Dome,Fish,3,Lizard Island,Carcharhinus melanopterus,Piscivore,1,0.605754669,0.1,0,0,0
North Palfrey ,1,Dome,Fish,3,Lizard Island,Carcharhinus melanopterus,Piscivore,0,0,0,1,0.605754669,0.05
North Palfrey ,1,Dome,Fish,3,Lizard Island,Carcharhinus melanopterus,Piscivore,1,0.605754669,0.06,0,0,0
North Palfrey ,2,Dome,Fish,1,Lizard Island,Carcharhinus melanopterus,Piscivore,0,0,0,1,2.367797948,0.06
North Palfrey ,2,Dome,Fish,1,Lizard Island,Carcharhinus melanopterus,Piscivore,1,2.367797948,0.1,0,0,0
North Palfrey ,2,Dome,Fish,2,Lizard Island,Lutjanus carponotatus,Piscivore,0,0,0,1,1.359003398,0.1
North Palfrey ,2,Dome,Fish,3,Lizard Island,Canthigaster sp,Invertivore,0,0,0,1,1.099908341,0.1
North Palfrey ,1,Dome,No_fish,1,Lizard Island,Canthigaster sp,Invertivore,0,0,0,0,0,0
North Palfrey ,1,Dome,No_fish,2,Lizard Island,Canthigaster sp,Invertivore,0,0,0,0,0,0
North Palfrey ,1,Dome,No_fish,3,Lizard Island,Canthigaster sp,Invertivore,0,0,0,0,0,0
North Palfrey ,2,Dome,No_fish,1,Lizard Island,Canthigaster sp,Invertivore,0,0,0,0,0,0
North Palfrey ,2,Dome,No_fish,2,Lizard Island,Canthigaster sp,Invertivore,0,0,0,0,0,0
North Palfrey ,2,Dome,No_fish,3,Lizard Island,Arothron nigropunctatus,Invertivore,0,0,0,0,0,0
Blue lagoon,1,Dome,Fish,1,Lizard Island,Caranx sexfasciatus,Piscivore,0,0,0,1,0.716332378,0.15
Blue lagoon,1,Dome,Fish,1,Lizard Island,Caranx sexfasciatus,Piscivore,0,0,0,1,0.716332378,0.15
Blue lagoon,1,Dome,Fish,1,Lizard Island,Diagramma labiosum,Invertivore,0,0,0,1,0.716332378,0.15
Blue lagoon,1,Dome,Fish,1,Lizard Island,Diagramma labiosum,Invertivore,0,0,0,1,0.716332378,1.5
Blue lagoon,1,Dome,Fish,1,Lizard Island,Diagramma labiosum,Invertivore,0,0,0,1,0.716332378,1.5
Blue lagoon,1,Dome,Fish,1,Lizard Island,Diagramma labiosum,Invertivore,0,0,0,1,0.716332378,1.5
Blue lagoon,1,Dome,Fish,1,Lizard Island,Diagramma labiosum,Invertivore,0,0,0,1,0.716332378,1.5
Blue lagoon,1,Dome,Fish,1,Lizard Island,Diagramma labiosum,Invertivore,0,0,0,1,0.716332378,1.5
Blue lagoon,1,Dome,Fish,1,Lizard Island,Diagramma labiosum,Invertivore,0,0,0,1,0.716332378,1.5
Blue lagoon,1,Dome,Fish,1,Lizard Island,Triaenodon obesus,Piscivore,0,0,0,1,0.716332378,0.06
Blue lagoon,1,Dome,Fish,1,Lizard Island,Gymnocranius microdon,Invertivore,0,0,0,1,0.716332378,0.06
Blue lagoon,1,Dome,Fish,2,Lizard Island,Caranx sexfasciatus,Piscivore,0,0,0,1,0.717531691,0.05
Blue lagoon,1,Dome,Fish,2,Lizard Island,Gymnocranius microdon,Invertivore,0,0,0,1,0.716332378,0.06
Blue lagoon,1,Dome,Fish,2,Lizard Island,Cheilinus fasciatus,Invertivore,0,0,0,1,0.716332378,0.06
Blue lagoon,1,Dome,Fish,2,Lizard Island,Diagramma labiosum,Invertivore,0,0,0,1,0.717531691,0.07
Blue lagoon,1,Dome,Fish,2,Lizard Island,Triaenodon obesus,Piscivore,20,14.35063382,4.47,1,0.717531691,0.05
Blue lagoon,1,Dome,Fish,2,Lizard Island,Caranx sexfasciatus,Piscivore,0,0,0,1,0.717531691,0.05
Blue lagoon,1,Dome,Fish,2,Lizard Island,Caranx sexfasciatus,Piscivore,0,0,0,1,0.717531691,0.05
Blue lagoon,1,Dome,Fish,2,Lizard Island,Caranx sexfasciatus,Piscivore,0,0,0,1,0.717531691,0.05
Blue lagoon,1,Dome,Fish,2,Lizard Island,Caranx sexfasciatus,Piscivore,0,0,0,1,0.717531691,0.05
Blue lagoon,1,Dome,Fish,2,Lizard Island,Caranx sexfasciatus,Piscivore,0,0,0,1,0.717531691,0.05
Blue lagoon,1,Dome,Fish,2,Lizard Island,Caranx sexfasciatus,Piscivore,0,0,0,1,0.717531691,0.05
Blue lagoon,1,Dome,Fish,2,Lizard Island,Caranx sexfasciatus,Piscivore,0,0,0,1,0.717531691,0.05
Blue lagoon,1,Dome,Fish,2,Lizard Island,Caranx sexfasciatus,Piscivore,0,0,0,1,0.717531691,0.05
Blue lagoon,1,Dome,Fish,2,Lizard Island,Caranx sexfasciatus,Piscivore,0,0,0,1,0.717531691,0.05
Blue lagoon,1,Dome,Fish,2,Lizard Island,Caranx sexfasciatus,Piscivore,0,0,0,1,0.717531691,0.05
Blue lagoon,1,Dome,Fish,2,Lizard Island,Caranx sexfasciatus,Piscivore,1,0.717531691,0.08,0,0,0
Blue lagoon,1,Dome,Fish,3,Lizard Island,Diagramma labiosum,Invertivore,0,0,0,2,1.431468448,0.1
Blue lagoon,1,Dome,Fish,3,Lizard Island,Diagramma labiosum,Invertivore,0,0,0,1,0.717531691,0.05
Blue lagoon,1,Dome,Fish,3,Lizard Island,Diagramma labiosum,Invertivore,0,0,0,1,0.717531691,0.05
Blue lagoon,1,Dome,Fish,3,Lizard Island,Diagramma labiosum,Invertivore,0,0,0,1,0.717531691,0.05
Blue lagoon,1,Dome,Fish,3,Lizard Island,Caranx sexfasciatus,Piscivore,0,0,0,1,0.715734224,0.09
Blue lagoon,1,Dome,Fish,3,Lizard Island,Caranx sexfasciatus,Piscivore,0,0,0,1,0.715734224,0.09
Blue lagoon,1,Dome,Fish,3,Lizard Island,Caranx sexfasciatus,Piscivore,0,0,0,1,0.715734224,0.09
Blue lagoon,1,Dome,Fish,3,Lizard Island,Acanthurus auranticavus,Herbivore,0,0,0,1,0.715734224,0.1
Blue lagoon,1,Dome,Fish,3,Lizard Island,Acanthurus auranticavus,Herbivore,0,0,0,1,0.715734224,0.1
Blue lagoon,1,Dome,Fish,3,Lizard Island,Acanthurus auranticavus,Herbivore,0,0,0,1,0.715734224,0.1
Blue lagoon,1,Dome,Fish,3,Lizard Island,Acanthurus auranticavus,Herbivore,0,0,0,1,0.715734224,0.1
Blue lagoon,1,Dome,Fish,3,Lizard Island,Acanthurus auranticavus,Herbivore,0,0,0,1,0.715734224,0.1
Blue lagoon,1,Dome,Fish,3,Lizard Island,Acanthurus auranticavus,Herbivore,0,0,0,1,0.715734224,0.1
Blue lagoon,1,Dome,Fish,3,Lizard Island,Acanthurus auranticavus,Herbivore,0,0,0,1,0.715734224,0.1
Blue lagoon,1,Dome,Fish,3,Lizard Island,Acanthurus auranticavus,Herbivore,0,0,0,1,0.715734224,0.1
Blue lagoon,1,Dome,Fish,3,Lizard Island,Cheilinus fasciatus,Invertivore,0,0,0,1,0.716332378,0.06
Blue lagoon,2,Dome,Fish,1,Lizard Island,Carangoides fulvoguttatus,Piscivore,2,1.989719781,0.15,0,0,0
Blue lagoon,2,Dome,Fish,1,Lizard Island,Carangoides fulvoguttatus,Piscivore,2,1.989719781,0.15,0,0,0
Blue lagoon,2,Dome,Fish,1,Lizard Island,Symphorichthys spilurus,Piscivore,0,0,0,1,0.994859891,0.05
Blue lagoon,2,Dome,Fish,1,Lizard Island,Pomacanthus sexstriatus,Invertivore,0,0,0,1,0.716332378,0.06
Blue lagoon,2,Dome,Fish,1,Lizard Island,Lutjanus russellii,Piscivore,0,0,0,1,0.994859891,0.05
Blue lagoon,2,Dome,Fish,1,Lizard Island,Symphorichthys spilurus,Piscivore,0,0,0,1,0.994859891,0.2
Blue lagoon,2,Dome,Fish,1,Lizard Island,Symphorichthys spilurus,Piscivore,0,0,0,1,1.5,0.2
Blue lagoon,2,Dome,Fish,1,Lizard Island,Dischistodus prosopotaenia,Herbivore,0,0,0,1,1.5,0.2
Blue lagoon,2,Dome,Fish,1,Lizard Island,Dischistodus prosopotaenia,Herbivore,0,0,0,1,1.5,0.2
Blue lagoon,2,Dome,Fish,1,Lizard Island,Dischistodus prosopotaenia,Herbivore,0,0,0,1,1.5,0.2
Blue lagoon,2,Dome,Fish,1,Lizard Island,Dischistodus prosopotaenia,Herbivore,0,0,0,1,1.5,0.2
Blue lagoon,2,Dome,Fish,1,Lizard Island,Dischistodus prosopotaenia,Herbivore,0,0,0,1,1.5,0.2
Blue lagoon,2,Dome,Fish,2,Lizard Island,Plectorhinchus chrysotaenia,Invertivore,0,0,0,1,0.628864899,0.19
Blue lagoon,2,Dome,Fish,2,Lizard Island,Pomacentrus chrysurus,Herbivore,1,0.5,0.05,0,0,0
Blue lagoon,2,Dome,Fish,2,Lizard Island,Pomacentrus chrysurus,Herbivore,1,0.5,0.05,0,0,0
Blue lagoon,2,Dome,Fish,2,Lizard Island,Amblyglyphidodon aureus,Planktivore,0,0,0,1,0.628864899,0.19
Blue lagoon,2,Dome,Fish,2,Lizard Island,Pomacentrus chrysurus,Herbivore,1,0.5,0.05,0,0,0
Blue lagoon,2,Dome,Fish,2,Lizard Island,Pomacentrus chrysurus,Herbivore,0,0,0,1,0.5,0.05
Blue lagoon,2,Dome,Fish,2,Lizard Island,Lethrinus amboinensis,Piscivore,0,0,0,1,0.5,0.05
Blue lagoon,2,Dome,Fish,3,Lizard Island,Plectorhinchus chrysotaenia,Invertivore,0,0,0,1,0.890339813,0.07
Blue lagoon,2,Dome,Fish,3,Lizard Island,Chrysiptera rollandi,Planktivore,0,0,0,1,0.890339813,0.07
Blue lagoon,2,Dome,Fish,3,Lizard Island,Chrysiptera rollandi,Planktivore,0,0,0,1,0.890339813,0.07
Blue lagoon,2,Dome,Fish,3,Lizard Island,Platax orbicularis,Piscivore,0,0,0,1,0.890339813,0.08
Blue lagoon,1,Dome,No_fish,1,Lizard Island,Platax orbicularis,Piscivore,0,0,0,0,0,0
Blue lagoon,1,Dome,No_fish,2,Lizard Island,Platax orbicularis,Piscivore,0,0,0,0,0,0
Blue lagoon,1,Dome,No_fish,3,Lizard Island,Platax orbicularis,Piscivore,0,0,0,0,0,0
Blue lagoon,2,Dome,No_fish,1,Lizard Island,Platax orbicularis,Piscivore,0,0,0,0,0,0
Blue lagoon,2,Dome,No_fish,2,Lizard Island,Platax orbicularis,Piscivore,0,0,0,0,0,0
Blue lagoon,2,Dome,No_fish,3,Lizard Island,Platax orbicularis,Piscivore,0,0,0,0,0,0
Malabar 1 ,1,Dome,Fish,1,Sydney,Platax orbicularis,Piscivore,0,0,0,0,0,0
Malabar 1 ,1,Dome,Fish,2,Sydney,Platax orbicularis,Piscivore,0,0,0,0,0,0
Malabar 1 ,1,Dome,Fish,3,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.960153625,0.25
Malabar 1 ,2,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.550964187,0.11
Malabar 1 ,2,Dome,Fish,2,Sydney,Nelusetta ayraud,Omnivore,0,0,0,0,0,0
Malabar 1 ,2,Dome,Fish,3,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.541809644,0.05
Malabar 1 ,2,Dome,Fish,3,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.541809644,0.1
Malabar 1 ,2,Dome,Fish,3,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.541809644,0.03
Malabar 1 ,2,Dome,Fish,3,Sydney,Nelusetta ayraud,Omnivore,1,0.541809644,0.1,0,0,0
Malabar 1 ,1,Dome,No_fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,0,0,0
Malabar 1 ,1,Dome,No_fish,2,Sydney,Nelusetta ayraud,Omnivore,0,0,0,0,0,0
Malabar 1 ,1,Dome,No_fish,3,Sydney,Nelusetta ayraud,Omnivore,0,0,0,0,0,0
Malabar 1 ,2,Dome,No_fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,0,0,0
Malabar 1 ,2,Dome,No_fish,2,Sydney,Nelusetta ayraud,Omnivore,0,0,0,0,0,0
Malabar 1 ,2,Dome,No_fish,3,Sydney,Nelusetta ayraud,Omnivore,0,0,0,0,0,0
Malabar 2,1,Dome,Fish,1,Sydney,Atypichthys strigatus,Planktivore,0,0,0,5,4.05295866,0.2
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,1,0.810591732,0.2,0,0,0
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,5,4.05295866,0.2
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,2,1.621183464,0.1,0,0,0
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.810591732,0.2
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,2,1.621183464,0.2,0,0,0
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,1,0.810591732,0.25,0,0,0
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,1,0.810591732,0.1,0,0,0
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.810591732,0.05
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,1,0.810591732,0.1,0,0,0
